UUID;Version;Name;Kategorie;Typ;Bezugsgroesse;Bezugseinheit;Referenzfluss-UUID;Referenzfluss-Name;Schuettdichte (kg/m3);Flaechengewicht (kg/m2);Rohdichte (kg/m3);Schichtdicke (m);Ergiebigkeit (m2);Laengengewicht (kg/m);Umrechungsfaktor auf 1kg;Modul;GWP;ODP;POCP;AP;EP;ADPE;ADPF;PERE;PERM;PERT;PENRE;PENRM;PENRT;SM;RSF;NRSF;FW;HWD;NHWD;RWD;CRU;MFR;MER;EEE;EET;Modul;GWP;ODP;POCP;AP;EP;ADPE;ADPF;PERE;PERM;PERT;PENRE;PENRM;PENRT;SM;RSF;NRSF;FW;HWD;NHWD;RWD;CRU;MFR;MER;EEE;EET;Modul;GWP;ODP;POCP;AP;EP;ADPE;ADPF;PERE;PERM;PERT;PENRE;PENRM;PENRT;SM;RSF;NRSF;FW;HWD;NHWD;RWD;CRU;MFR;MER;EEE;EET;Modul;GWP;ODP;POCP;AP;EP;ADPE;ADPF;PERE;PERM;PERT;PENRE;PENRM;PENRT;SM;RSF;NRSF;FW;HWD;NHWD;RWD;CRU;MFR;MER;EEE;EET;Modul;GWP;ODP;POCP;AP;EP;ADPE;ADPF;PERE;PERM;PERT;PENRE;PENRM;PENRT;SM;RSF;NRSF;FW;HWD;NHWD;RWD;CRU;MFR;MER;EEE;EET;Modul;GWP;ODP;POCP;AP;EP;ADPE;ADPF;PERE;PERM;PERT;PENRE;PENRM;PENRT;SM;RSF;NRSF;FW;HWD;NHWD;RWD;CRU;MFR;MER;EEE;EET
8d06b1df-e898-4009-adee-57ca44aaafcc;00.05.000;BauderTHERMOFOL;Kunststoffe / Dachbahnen / PVC-Dachbahnen;average dataset;1;null;d21fe6c4-dcef-bd20-9458-9aad442df0c8;1 m² BauderTHERMOFOL U (12/15/18/20/24), U (15/18/20) V und M (12/15/18/20);;1,938;;;;;;A1-A3;518;759;281;167;142;131;118;775;146;922;813;432;124;805;0;0;186;731;259;205;0;0;0;0;0;C3;123;874;236;343;307;382;133;601;0;601;215;0;215;0;0;0;927;0;129;324;0;167;0;0;0;D;-344;-953;-228;-544;-8;-142;-803;-594;0;-594;-867;0;-867;0;0;0;-148;0;-323;-254;0;0;0;0;0
9179f12a-8fef-4319-a150-a6bb1286c37c;00.05.000;BauderTHERMOPLAN;Kunststoffe / Dachbahnen / Elastomer-Dachbahnen;average dataset;1;null;891bd4ee-540e-5349-64cc-3b68df4f06ac;1 m² BauderTHERMOPLAN T(12/15/16/18/20) und T (15/18/20) V;;2,21;;;;;;A1-A3;311;596;965;633;848;224;921;549;131;68;461;506;967;11;0;0;1;0;952;173;0;0;0;0;0;C3;142;101;272;395;353;463;154;692;0;692;247;0;247;0;0;0;107;0;149;373;0;192;0;0;0;D;-177;-224;-644;-282;-291;-576;-671;-186;0;-186;-682;0;-682;0;0;0;-721;0;-736;-451;0;0;0;0;0
d4680073-0c9c-40f4-842f-c6830856812c;00.03.000;Betonpflaster- Standardstein grau mit Vorsatz;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;average dataset;1;null;620f5250-5df3-4980-dfd4-cbd8afbfe3ea;1 m² Betonpflasterstein, 10 cm (225 kg/m²);;225;;;;;0,0044;A1-A3;251;479;311;366;496;356;115;234;0;234;131;0;131;848;0;0;869;31;696;649;0;0;0;0;0
1a7c1457-bbf6-4d40-a94d-1cac4d663baa;00.04.000;Betonpflasterstein mit Edelsplittvorsatzbeton;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;specific dataset;1;null;09f351ec-8825-3121-c7d0-be97950c44a1;Betonpflasterstein 1 m² mit 12 cm Dicke;;270;;;;;0,0037;A1-A3;498;121;729;76;104;745;260;40;21;61;285;11;296;626;0;0;13;256;474;142;0;0;0;0;0
284efda1-bb16-453a-bc32-070f3bab4cb3;00.03.000;Betonpflasterstein mit schwarz-weiß meliertem Vorsatz;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;specific dataset;1;null;78402662-a374-f8a4-7638-4286dd3e3462;Betonpflasterstein mit schwarz-weiß meliertem Vorsatz;;135;;;;;0,0074;A1-A3;181;912;271;295;389;277;984;119;115;234;1103;7;111;368;0;0;7;3;204;505;0;0;0;0;0
daa6924a-a78e-4457-864a-8613ad441f17;00.03.000;Brillux Dolomit ELF 900;Beschichtungen / Innenbeschichtungen / Innenfarben;representative dataset;1;null;b51ee2bc-fd63-d2e9-88e9-89e604984e19;1 kg Brillux Dolomit ELF 900;;;1500;;;;1;A1-A3;797;221;735;175;264;15;139;116;0;116;1316;204;152;0;0;0;54;252;256;534;0;0;0;0;0
fab730b2-0b23-4cc8-9543-39caed1db530;00.04.000;Brillux Evocryl 200;Beschichtungen / Fassadenfarben / Dispersion;specific dataset;1;null;7a6913a6-dda6-62a4-5335-fa10ad49f399;1 kg Brillux Evocryl 200;;;1300;;;;1;A1-A3;161;444;11;259;517;25;293;162;0;162;2057;1063;312;0;0;0;66;237;358;763;0;0;0;0;0
ebb1b66d-c4b3-4fc8-bdab-2037ec1226b2;00.03.000;Brillux Glemalux ELF 1000;Beschichtungen / Innenbeschichtungen / Innenfarben;representative dataset;1;null;bce9968d-de8b-c53c-13bf-e85ae93a8fd0;1 kg Brillux Glemalux ELF 1000;;;1500;;;;1;A1-A3;127;493;122;299;417;332;209;159;0;159;2001;279;228;0;0;0;731;323;372;8;0;0;0;0;0
346f481f-c669-41fa-b69c-d16c7b21bd30;00.03.000;Brillux Latexfarbe ELF 992;Beschichtungen / Innenbeschichtungen / Innenfarben;representative dataset;1;null;2dde145e-a37d-19df-f367-9632e33b5208;1 kg Brillux Latexfarbe ELF 992;;;1300;;;;1;A1-A3;142;372;137;301;447;265;263;156;0;156;2212;628;284;0;0;0;129;488;201;879;0;0;0;0;0
a95d0d3b-06e9-436d-a255-1f4d2dfd2077;00.03.000;Brillux Sensocryl ELF 266;Beschichtungen / Innenbeschichtungen / Innenfarben;specific dataset;1;null;ca7fe179-360b-1c28-8e77-625b4717c2ed;1 kg Brillux Sensocryl ELF 266;;;1400;;;;1;A1-A3;188;429;169;426;606;346;306;203;0;203;2979;361;334;0;0;0;103;541;49;115;0;0;0;0;0
